時間,洋蔥,香蕉,鳳梨,蒜頭,青梅,木瓜,柳橙,椪柑,蓮霧,棗子,新興梨,檸檬,芒果,水梨,番石榴,文旦,甜柿,桶柑,紅龍果,甘藍,結球白菜,茂谷柑,西瓜
2013-11-14,-,40.2,-,-,-,56.42,18.85,29.2,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-
2013-11-15,-,38.4,-,-,-,58.17,21.65,29,-,-,-,-,-,-,24.67,-,-,-,-,-,-,-,-
2013-11-16,-,37.6,-,-,-,53.17,19.05,28.1,-,-,-,-,-,-,25.33,-,-,-,-,-,-,-,-
2013-11-17,-,37.2,-,-,-,52.83,19.05,28.1,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-
2013-11-18,-,36.2,-,-,-,51.4,19.56,29.25,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-
2013-11-19,-,32.6,-,-,-,53.67,19.85,27.6,-,-,-,-,-,-,26.67,-,-,-,-,-,-,-,-
2013-11-20,-,31.6,-,-,-,53.25,19.45,27.4,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-
2013-11-21,-,31,-,-,-,52.88,19.45,27.6,-,-,-,-,-,-,30.33,-,-,-,-,-,-,-,-
2013-11-22,-,31.2,-,-,-,54.67,19.65,27.6,-,-,-,-,-,-,29.67,-,-,-,-,-,-,-,-
2013-11-23,-,31.6,-,-,-,53.83,19.04,27.8,-,-,-,-,-,-,31.33,-,-,-,-,-,-,-,-
2013-11-24,-,31.6,-,-,-,54.33,19.04,27.5,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-
2013-11-25,-,32.6,-,-,-,55.25,19.75,28.5,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-
2013-11-26,-,33.6,-,-,-,55.83,20.1,28.2,-,-,-,-,-,-,32,-,-,-,-,-,-,-,-
2013-11-27,-,35.2,-,-,-,55.33,19.2,27.8,-,-,-,-,-,-,34.67,-,-,-,-,-,-,-,-
2013-11-28,-,35.6,-,-,-,55.33,19.4,28.4,-,-,-,-,-,-,36,-,-,-,-,-,-,-,-
2013-11-29,-,36.4,-,-,-,54.67,19.16,28.4,-,-,-,-,-,-,36.33,-,-,-,-,-,-,-,-
2013-11-30,-,38,-,-,-,55,19.1,28.5,-,-,-,-,-,-,38.33,-,-,-,-,-,-,-,-
2013-12-01,-,38,-,-,-,-,18.88,30.6,73.33,-,-,-,-,-,40.67,-,-,-,-,-,-,-,-
2013-12-02,-,37.8,-,-,-,-,18.5,29.25,70,-,-,-,-,-,41,-,-,-,-,-,-,-,-
2013-12-03,-,40.2,-,-,-,-,20.1,30.2,73,-,-,-,-,-,43.33,-,-,-,-,-,-,-,-
2013-12-04,-,40.6,-,-,-,-,18.7,29.8,72.67,-,-,-,-,-,43.67,-,-,-,-,-,-,-,-
2013-12-05,-,40.8,-,-,-,-,18.5,29.4,75.33,60,-,-,-,-,46.33,-,-,-,-,-,-,-,-
2013-12-06,-,41,-,-,-,-,18.44,29.2,74,-,-,-,-,-,46.67,-,-,-,-,-,-,-,-
2013-12-07,-,41,-,-,-,-,18.15,30,74,55,-,-,-,-,48.33,-,-,-,-,-,-,-,-
2013-12-08,-,41,-,-,-,-,18.15,29.6,72.67,53.25,-,-,-,-,48.33,-,-,-,-,-,-,-,-
2013-12-09,-,41.4,-,-,-,-,18.15,29.2,80,60,-,-,-,-,48,-,-,-,-,-,-,-,-
2013-12-10,-,42.2,-,-,-,-,17.95,28,73.33,56.75,-,-,-,-,49.33,-,-,-,-,-,-,-,-
2013-12-11,-,43.4,-,-,-,-,18.1,28.2,73,57,-,-,-,-,49.67,-,-,-,-,-,-,-,-
2013-12-12,-,43.4,-,-,-,-,18.5,28,74,60,-,-,-,-,50,-,-,-,-,-,-,-,-
2013-12-13,-,43.2,-,-,-,-,18.75,28.4,73.67,60.5,-,-,-,-,50.67,-,-,-,-,-,-,-,-
2013-12-14,-,43.4,-,-,-,-,18.9,29.2,74.67,60,-,-,-,-,51.33,-,-,-,-,-,-,-,-
2013-12-15,-,43.4,-,-,-,-,18.9,29.2,73.67,62.5,-,-,-,-,50,-,-,-,-,-,-,-,-
2013-12-16,-,42.4,-,-,-,-,20.17,28.5,90,65,-,-,-,-,48,-,-,-,-,-,-,-,-
2013-12-17,-,41.4,-,-,-,-,19,29,69,60,-,-,-,-,49.33,-,-,-,-,-,-,-,-
2013-12-18,-,40.4,-,-,-,-,19,29,70.67,62.5,-,-,-,-,48.33,-,-,-,-,-,-,-,-
2013-12-19,-,38.2,-,-,-,-,19,28.25,71.33,60.5,-,-,-,-,47,-,-,-,-,-,-,-,-
2013-12-20,-,38.4,-,-,-,-,18.8,28.5,69,61.75,-,-,-,-,46.67,-,-,-,-,-,-,-,-
2013-12-21,-,39,-,-,-,-,18.64,28.5,68.67,62.25,-,-,-,-,45.33,-,-,-,-,-,-,-,-
2013-12-22,-,39,-,-,-,-,18.64,28.5,68.67,63.5,-,-,-,-,45.67,-,-,-,-,-,-,-,-
2013-12-23,-,39.2,-,-,-,-,18.64,28.5,-,65,-,-,-,-,46,-,-,-,-,-,-,-,-
2013-12-24,-,39.2,-,-,-,-,18.64,28.5,69.33,58,-,-,-,-,44.33,-,-,-,-,-,-,-,-
2013-12-25,-,37.4,-,-,-,-,18.44,28.75,70,62.25,-,-,-,-,43.67,-,-,-,-,-,-,-,-
2013-12-26,-,37,-,-,-,-,18.44,28.5,69.33,61.75,-,-,-,-,46,-,-,-,-,-,-,-,-
2013-12-27,-,36.6,-,-,-,-,18.44,29,72.67,63.5,-,-,-,-,46.67,-,-,-,-,-,-,-,-
2013-12-28,-,38.4,-,-,-,-,18.24,29.5,73,64.25,-,-,-,-,49,-,-,-,-,-,-,-,-
2013-12-29,-,38.4,-,-,-,-,17.96,29.5,75,66,-,-,-,-,50,-,-,-,-,-,-,-,-
2013-12-30,-,40.6,-,-,-,-,18.24,29.75,70,66,-,-,-,-,45,-,-,-,-,-,-,-,-
2013-12-31,-,40.2,-,-,-,-,18.04,30,71.67,66,-,-,-,-,48.33,-,-,-,-,-,-,-,-
2014-01-01,-,41,-,-,-,-,18.34,32.33,69.33,66.5,-,-,-,-,49.33,-,-,-,-,-,-,-,-
2014-01-02,-,40.8,-,-,-,-,18.54,32.67,73.33,66.5,-,-,-,-,49.33,-,-,-,-,-,-,-,-
2014-01-03,-,40.4,-,-,-,-,18.24,32.67,75.33,66.5,-,-,-,-,49.67,-,-,42,-,-,-,-,-
2014-01-04,-,41.2,-,-,-,-,18.64,35,75.33,62.5,-,-,-,-,44.33,-,-,42,-,-,-,-,-
2014-01-05,-,41.2,-,-,-,-,18.44,35.5,71.67,60.75,-,-,-,-,38.33,-,-,41,-,-,-,-,-
2014-01-06,-,42,-,-,-,-,18.54,35,70,60,-,-,-,-,36,-,-,-,-,-,-,-,-
2014-01-07,-,43.4,-,-,-,-,18.5,35.5,72.67,58.25,-,-,-,-,37,-,-,39,-,-,-,-,-
2014-01-08,-,44.6,-,-,-,-,18.3,35.5,70,55.75,-,-,-,-,35.33,-,-,41,-,-,-,-,-
2014-01-09,-,45,-,-,-,-,18.6,35.5,67.67,58.25,-,-,-,-,34.67,-,-,40,-,-,-,-,-
2014-01-10,-,44.8,-,-,-,-,18.5,35.5,69,58.25,-,-,-,-,34,-,-,40,-,-,-,-,-
2014-01-11,-,45.2,-,-,-,-,18.5,35,66.67,55.75,-,-,-,-,38.33,-,-,40,-,-,-,-,-
2014-01-12,-,44.8,-,-,-,-,18.5,35,68.33,55.75,-,-,-,-,38.67,-,-,40,-,-,-,-,-
2014-01-13,-,45,-,-,-,-,19.38,35,-,55,-,-,-,-,33,-,-,-,-,-,-,-,-
2014-01-14,-,45.6,-,-,-,-,18.7,35,67.67,59.5,-,-,-,-,36.33,-,-,40,-,-,-,-,-
2014-01-15,-,46,-,-,-,-,18.9,35,66.67,58.25,-,-,-,-,35.33,-,-,42,-,-,-,-,-
2014-01-16,-,46,-,-,-,-,18.7,35,69.33,62.5,-,-,-,-,36.67,-,-,42,-,-,-,-,-
2014-01-17,-,47,-,-,-,-,18.7,35,70.67,64.25,-,-,-,-,36.33,-,-,43,-,-,-,-,-
2014-01-18,-,47.6,-,-,-,-,18.63,35.5,68.67,65.5,-,-,-,-,33.67,-,-,40,-,-,-,-,-
2014-01-19,-,47.6,-,-,-,-,18.5,35.5,68,64.25,-,-,-,-,32,-,-,41.5,-,-,-,-,-
2014-01-20,-,48.4,-,-,-,-,18.25,35.5,70,70,-,-,-,-,26,-,-,40,-,-,-,-,-
2014-01-21,-,48.6,-,-,-,-,18.75,35.5,65.67,63,-,-,-,-,29.67,-,-,43,-,-,-,-,-
2014-01-22,-,49,-,-,-,-,19,35.5,67.67,63.75,-,-,-,-,29,-,-,43,-,-,-,-,-
2014-01-23,-,48.8,-,-,-,-,19.05,35.5,71.33,63.25,-,-,-,-,29.67,-,-,46,-,-,-,-,-
2014-01-24,-,50.4,-,-,-,-,19.43,35.5,70,63.25,-,-,-,-,29.67,-,-,46,-,-,-,-,-
2014-01-25,-,50.4,-,-,-,-,19.05,38,70,63.25,-,-,-,-,33,-,-,47,-,-,-,-,-
2014-01-26,-,50.2,-,-,-,-,18.93,38,69,65,-,-,-,-,33.67,-,-,48,-,-,-,-,-
2014-01-27,-,48.4,-,-,-,-,19.18,38,72.5,69.33,-,-,-,-,25,-,-,48,-,-,-,-,-
2014-01-28,-,44,-,-,-,-,19.18,40,72.33,67.5,-,-,-,-,35.67,-,-,48.5,-,-,-,-,-
2014-01-29,-,40.6,-,-,-,-,19.18,40,76.67,69.25,-,-,-,-,34.67,-,-,50.5,-,-,-,-,-
2014-01-30,-,39.4,-,-,-,-,19.05,40,67.33,63.25,-,-,-,-,30.5,-,-,60,-,-,-,-,-
2014-02-04,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2014-02-05,11,37.6,-,-,-,-,18,-,66,60,-,-,-,-,27,-,-,49,-,-,-,-,-
2014-02-06,11,37.6,-,-,-,-,18.5,-,60.67,49.25,-,-,-,-,19,-,-,48,-,-,-,-,-
2014-02-07,11,37.4,-,-,-,-,18.5,-,63.33,48.25,-,-,-,-,20,-,-,47.5,-,-,-,-,-
2014-02-08,11,37.6,-,-,-,-,20,-,67,47.75,-,-,-,-,22,-,-,44,-,-,-,-,-
2014-02-09,11,37.6,-,-,-,-,21,-,63.67,50,-,-,-,-,23.33,-,-,43,-,-,-,-,-
2014-02-10,11,37.2,-,-,-,-,21,-,80,50,-,-,-,-,15,-,-,-,-,-,-,-,-
2014-02-11,11,34.2,-,-,-,-,20,-,64,48.75,-,-,-,-,27.67,-,-,41,-,-,-,-,-
2014-02-12,10,33.8,-,-,-,-,19,-,69.33,51.75,-,-,-,-,31.33,-,-,41,-,-,-,-,-
2014-02-13,10,33.8,-,-,-,-,20,-,70,50.5,-,-,-,-,35,-,-,41.5,-,-,-,-,-
2014-02-14,9,33.6,-,-,-,-,20,-,73,48.75,-,-,-,-,34.67,-,-,40.5,-,-,-,-,-
2014-02-15,-,33.4,-,-,-,-,20,-,-,50,-,-,-,-,26,-,-,-,-,-,-,-,-
2014-02-16,-,-,-,-,-,-,20,-,-,50,-,-,-,-,28,-,-,-,-,-,-,-,-
2014-02-17,8,34.2,-,-,-,-,20,-,-,50,-,-,-,-,30,-,-,-,-,-,-,-,-
2014-02-18,8,34.2,-,-,-,-,21,-,67.33,48.25,-,-,-,-,34.33,-,-,43,-,-,-,-,-
2014-02-19,8,34.6,-,-,-,-,20,-,65.67,48.25,-,-,-,-,32.33,-,-,40.5,-,-,-,-,-
2014-02-20,8,34,-,-,-,-,20,-,61,44.5,-,-,-,-,36,-,-,40,-,-,-,-,-
2014-02-21,8,35.8,-,-,-,-,20,-,68.33,46.75,-,-,-,-,41,-,-,39,-,-,-,-,-
2014-02-22,8,35.8,-,-,-,-,20,-,72.33,48.75,-,-,-,-,43,-,-,40,-,-,-,-,-
2014-02-23,8,35.8,-,-,-,-,20,-,76,48.25,-,-,-,-,43.67,-,-,39.5,-,-,-,-,-
2014-02-24,8,35.8,-,-,-,-,20,-,77.5,49.33,-,-,-,-,30,-,-,-,-,-,-,-,-
2014-02-25,8,40.2,-,-,-,-,20,-,79.33,47.5,-,-,-,-,40.67,-,-,40.5,-,-,-,-,-
2014-02-26,8,42.2,-,-,-,-,20,-,78.33,47.75,-,-,-,-,44.33,-,-,39.5,-,-,-,-,-
2014-02-27,8,42.6,-,-,-,-,20,-,79.67,48.25,-,-,-,-,44,-,-,41.5,-,-,-,-,-
2014-02-28,8,43.8,-,-,-,-,21,-,81,49,-,-,-,-,46,-,-,42.5,-,-,-,-,-
2014-03-01,9.23,43.4,-,71.6,-,-,-,-,79.67,48.75,-,-,-,-,42,-,-,41.5,-,-,-,-,-
2014-03-02,9.23,43.6,-,71.6,-,-,-,-,77.67,49,-,-,-,-,40.67,-,-,41.5,-,-,-,-,-
2014-03-03,9.23,44,-,71.6,-,-,-,-,70,44,-,-,-,-,34,-,-,43,-,-,-,-,-
2014-03-04,9.23,47.4,-,71.6,-,-,-,-,74.33,51.25,-,-,-,-,42.33,-,-,41.5,-,-,-,-,-
2014-03-05,9.23,50.2,-,72,-,-,-,-,73.33,48.75,-,-,-,-,42,-,-,40.5,-,-,-,-,-
2014-03-06,9.23,49.4,-,57.75,-,-,-,-,70.67,45.75,-,-,-,-,38.33,-,-,40,-,-,-,-,-
2014-03-07,9,50,-,57.75,-,-,-,-,66.33,45.25,-,-,-,-,37.33,-,-,41,-,-,-,-,-
2014-03-08,8.67,51.6,-,57.75,-,-,-,-,64.33,45.75,-,-,-,-,37,-,-,41.5,-,-,-,-,-
2014-03-09,8.67,51.6,-,57.5,-,-,-,-,63,45.75,-,-,-,-,37.33,-,-,41.5,-,-,-,-,-
2014-03-10,8.67,50.4,-,57.25,-,-,-,-,-,43,-,-,-,-,38,-,-,42,-,-,-,-,-
2014-03-11,8.53,48.6,-,54.75,-,-,-,-,66.67,44.5,-,-,-,-,41.67,-,-,41,-,-,-,-,-
2014-03-12,8.43,48.8,-,56,-,-,-,-,68,47,-,-,-,-,43.67,-,-,41,-,-,-,-,-
2014-03-13,8.43,48.2,-,56,-,-,-,-,69.67,46.25,-,-,-,-,44,-,-,43,-,-,-,-,-
2014-03-14,8.43,48.8,-,50.3,-,-,-,-,70.33,47.5,-,-,-,-,45,-,-,44.5,-,-,-,-,-
2014-03-15,8.9,47.6,-,46.23,-,-,-,-,74,47.5,-,-,-,-,42.67,-,-,46.5,-,-,-,-,-
2014-03-16,8.45,47.4,-,45.98,-,-,-,-,74.67,47.5,-,-,-,-,41,-,-,46.5,-,-,-,-,-
2014-03-17,8.73,46.6,-,45.73,-,-,-,-,65,50,-,-,-,-,41,-,-,-,-,-,-,-,-
2014-03-18,8.23,47.6,-,47.23,-,-,-,-,72,50,-,-,-,-,35.33,-,-,47.5,-,-,-,-,-
2014-03-19,8.63,48.8,-,47.1,-,-,-,-,69,50,-,-,-,-,33,-,-,47.5,-,-,-,-,-
2014-03-20,8.23,48.6,-,45.6,-,-,-,-,66.67,47.5,-,-,-,-,30.33,-,-,47.5,-,-,-,-,-
2014-03-21,8.63,50.8,-,39.88,-,-,-,-,66.67,43.67,-,-,-,-,30.67,-,-,45,-,-,-,-,-
2014-03-22,8.23,51,-,44.6,-,-,-,-,65,42.67,-,-,-,-,33.67,-,-,47.5,-,-,-,-,-
2014-03-23,8.23,51,-,44.5,-,-,-,-,65,46,-,-,-,-,33.33,-,-,46.5,-,-,-,-,-
2014-03-24,8.23,51,-,44.4,-,-,-,-,65,40,-,-,-,-,33,-,-,-,-,-,-,-,-
2014-03-25,8.23,49.4,-,44.4,-,-,-,-,67,52.67,-,-,-,-,33,-,-,47.5,-,-,-,-,-
2014-03-26,8.35,51.6,-,43.36,-,-,-,-,67.67,51,-,-,-,-,30.33,-,-,47.5,-,-,-,-,-
2014-03-27,8.35,51.4,-,41.22,-,-,-,-,67,46.67,-,-,-,-,27.67,-,-,47,-,-,-,-,-
2014-03-28,8.35,50.6,-,39.6,-,-,-,-,69.33,48.67,-,-,-,-,26,-,-,49,-,-,-,-,-
2014-03-29,8.35,50.2,-,39.5,-,-,-,-,69.33,48.67,-,-,-,-,26,-,-,50,-,-,-,-,-
2014-03-30,8.35,50.2,-,39.4,-,-,-,-,67.67,50.33,-,-,-,-,23.67,-,-,50,-,-,-,-,-
2014-03-31,8.35,49,-,39.3,-,-,-,-,-,40,-,-,-,-,25,-,-,-,-,-,-,-,-
2014-04-01,8.8,44,21.75,33,13.67,-,-,-,64.33,-,-,-,-,-,21.67,-,-,-,-,-,-,-,-
2014-04-02,8.8,43.5,21.88,32.88,13,-,-,-,60.67,-,-,-,-,-,21,-,-,-,-,-,-,-,-
2014-04-03,8.8,43.5,21.19,32.88,13,-,-,-,61,-,-,-,-,-,20.33,-,-,-,-,-,-,-,-
2014-04-04,8.8,42,21,32.88,10,-,-,-,61,-,-,-,-,-,21.67,-,-,-,-,-,-,-,-
2014-04-05,8.8,40.5,18.67,32.88,10,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-
2014-04-06,8.8,-,18.67,32.5,10,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-
2014-04-07,8.8,41,19.25,32.88,11.75,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-
2014-04-08,8.6,36.75,21.38,32.25,10.8,-,-,-,55.67,-,-,-,-,-,17.33,-,-,-,-,-,-,-,-
2014-04-09,8.6,35.75,21.38,32.08,10.8,-,-,-,52.33,-,-,-,-,-,16.33,-,-,-,-,-,-,-,-
2014-04-10,8.6,36,22.63,31.58,10.8,-,-,-,50.67,-,-,-,-,-,16.33,-,-,-,-,-,-,-,-
2014-04-11,8.6,34,23.57,30.85,10.8,-,-,-,49,-,-,-,-,-,14.33,-,-,-,-,-,-,-,-
2014-04-12,8.33,33.75,22.4,30.73,10.75,-,-,-,54.33,-,-,-,-,-,16.33,-,-,-,-,-,-,-,-
2014-04-13,8.33,33.75,23.3,30.6,10.5,-,-,-,60,-,-,-,-,-,16.67,-,-,-,-,-,-,-,-
2014-04-14,8.33,33.75,23.67,30.6,10.4,-,-,-,60.5,-,-,-,-,-,18,-,-,-,-,-,-,-,-
2014-04-15,8.33,35.25,23.6,30.6,10.4,-,-,-,55.33,-,-,-,-,-,21.33,-,-,-,-,-,-,-,-
2014-04-16,8.33,37,24.4,30.6,10.4,-,-,-,55.33,-,-,-,-,-,21.33,-,-,-,-,-,-,-,-
2014-04-17,8.33,37.75,25.5,30.6,10.5,-,-,-,51.33,-,-,-,-,-,20,-,-,-,-,-,-,-,-
2014-04-18,8.33,38.25,25.58,30.25,10.25,-,-,-,51.33,-,-,-,-,-,20,-,-,-,-,-,-,-,-
2014-04-19,8,36.75,26.36,30,11,-,-,-,50,-,-,-,-,-,21.67,-,-,-,-,-,-,-,-
2014-04-20,8,36.5,26.3,30,11.5,-,-,-,51,-,-,-,-,-,21.33,-,-,-,-,-,-,-,-
2014-04-21,7.87,36.5,26.33,29.88,11,-,-,-,65,-,-,-,-,-,17,-,-,-,-,-,-,-,-
2014-04-22,7.87,38,27.34,29.88,11,-,-,-,51.33,-,-,-,-,-,22,-,-,-,-,-,-,-,-
2014-04-23,7.77,39,27.4,29.54,11,-,-,-,52.33,-,-,-,-,-,21.67,-,-,-,-,-,-,-,-
2014-04-24,7.77,39,27.6,29.54,10.67,-,-,-,49.33,-,-,-,-,-,21.67,-,-,-,-,-,-,-,-
2014-04-25,7.77,39,29,29.54,10.67,-,-,-,51.33,-,-,-,-,-,22,-,-,-,-,-,-,-,-
2014-04-26,7.77,39.5,30.14,28.52,10.67,-,-,-,54,-,-,-,-,-,22.67,-,-,-,-,-,-,-,-
2014-04-27,7.77,39.5,30.4,28.39,11,-,-,-,57.67,-,-,-,-,-,24,-,-,-,-,-,-,-,-
2014-04-28,7.77,39.5,30,27.46,10.67,-,-,-,70,-,-,-,-,-,18,-,-,-,-,-,-,-,-
2014-04-29,7.77,36.75,31.4,26.83,12.5,-,-,-,59.33,-,-,-,-,-,28,-,-,-,-,-,-,-,-
2014-04-30,7.77,36.5,31.3,26.71,12.5,-,-,-,63.33,-,-,-,-,-,29,-,-,-,-,-,-,-,-
2014-05-01,-,36.5,30.8,26.71,15,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-
2014-05-02,-,35.75,30.32,26.71,10,-,-,-,-,-,-,-,-,-,28,-,-,-,-,-,-,-,-
2014-05-03,-,36.25,30.88,25.43,-,-,-,-,-,-,-,-,-,-,30.33,-,-,-,-,-,-,-,-
2014-05-04,-,36.25,30.75,25.43,-,-,-,-,-,-,-,-,-,-,28.33,-,-,-,-,-,-,-,-
2014-05-05,-,36,30.63,25,10,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-
2014-05-06,-,36,29.33,25,10,-,-,-,-,-,-,-,-,-,29.67,-,-,-,-,-,-,-,-
2014-05-07,-,36.75,28.83,24.08,-,-,-,-,-,-,-,-,-,-,28.33,-,-,-,-,-,-,-,-
2014-05-08,-,36.75,28.83,24.08,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-
2014-05-09,-,36.25,28.67,23.75,-,-,-,-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-
2014-05-10,-,36,28.67,23.75,-,-,-,-,-,-,-,-,-,-,28.33,-,-,-,-,-,-,-,-
2014-05-11,-,36,29.6,23.75,-,-,-,-,-,-,-,-,-,-,30.67,-,-,-,-,-,-,-,-
2014-05-12,-,35.75,28,23.33,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-
2014-05-13,-,38.5,27.93,23.33,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-
2014-05-14,-,40,28.35,23.33,-,-,-,-,-,-,-,-,-,-,34.67,-,-,-,-,-,-,-,-
2014-05-15,-,39,28.43,23.33,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-
2014-05-16,-,40,27.58,22.93,-,-,-,-,-,-,-,-,-,-,34,-,-,-,-,-,-,-,-
2014-05-17,-,40,26.5,22.52,-,-,-,-,-,-,-,-,-,-,33.67,-,-,-,-,-,-,-,-
2014-05-18,-,40,26.17,22.52,-,-,-,-,-,-,-,-,-,-,30.33,-,-,-,-,-,-,-,-
2014-05-19,-,39.75,25.13,22.1,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-
2014-05-20,-,38.75,24.67,22.1,-,-,-,-,-,-,-,-,-,-,27.67,-,-,-,-,-,-,-,-
2014-05-21,-,38.25,24.5,22.1,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-
2014-05-22,-,37.75,22.28,22.1,-,-,-,-,-,-,-,-,-,-,30.67,-,-,-,-,-,-,-,-
2014-05-23,-,38.5,22.33,22.1,-,-,-,-,-,-,-,-,-,-,33.33,-,-,-,-,-,-,-,-
2014-05-24,-,38.25,21.67,22.1,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,-,-
2014-05-25,-,37.5,21.83,22.1,-,-,-,-,-,-,-,-,-,-,37.67,-,-,-,-,-,-,-,-
2014-05-26,-,37.5,20,23.85,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,-,-
2014-05-27,-,32.25,21.67,21.28,-,-,-,-,-,-,-,-,-,-,39.33,-,-,-,-,-,-,-,-
2014-05-28,-,31,21.67,22.65,-,-,-,-,-,-,-,-,-,-,38,-,-,-,-,-,-,-,-
2014-05-29,-,31,21.83,22.87,-,-,-,-,-,-,-,-,-,-,42,-,-,-,-,-,-,-,-
2014-05-30,-,30.5,21.42,22.87,-,-,-,-,-,-,-,-,-,-,43.33,-,-,-,-,-,-,-,-
2014-05-31,-,27.5,21.17,22.87,-,-,-,-,-,-,-,-,-,-,40.67,-,-,-,-,-,-,-,-
2014-06-01,-,26.5,20.6,22.87,-,27.67,-,-,-,-,-,45.67,-,-,38.67,-,-,-,-,-,-,-,-
2014-06-02,-,26.5,20.2,22.98,-,28,-,-,-,-,-,46.5,-,-,40,-,-,-,-,-,-,-,-
2014-06-03,-,24.5,19,23.03,-,26.33,-,-,-,-,-,49,-,-,45,-,-,-,-,-,-,-,-
2014-06-04,-,23.5,19,23.03,-,26.67,-,-,-,-,-,48.67,-,-,37.5,-,-,-,-,-,-,-,-
2014-06-05,-,22.25,19.8,23.03,-,28,-,-,-,-,-,49,-,-,32,-,-,-,-,-,-,-,-
2014-06-06,-,19.75,20,23.3,-,28.75,-,-,-,-,-,49.67,-,-,31.33,-,-,-,-,-,-,-,-
2014-06-07,-,19,20,23.3,-,27.25,-,-,-,-,-,51.33,-,-,34.33,-,-,-,-,-,-,-,-
2014-06-08,-,19,19.8,23.3,-,28.25,-,-,-,-,-,51.33,-,-,34.33,-,-,-,-,-,-,-,-
2014-06-09,-,19,18.33,23.3,-,26.67,-,-,-,-,-,51.5,-,-,44,-,-,-,-,-,-,-,-
2014-06-10,-,14.75,20,23.38,-,27,-,-,-,-,-,54.33,-,-,34.33,-,-,-,-,-,-,-,-
2014-06-11,-,14.5,19.8,23.38,-,26.5,-,-,-,-,-,54.33,-,-,35.67,-,-,-,-,-,-,-,-
2014-06-12,-,14.5,20,23.38,-,26.75,-,-,-,-,-,54.67,-,-,38.67,-,-,-,-,-,-,-,-
2014-06-13,-,13.25,19.2,23.65,-,26,-,-,-,-,-,55,-,-,41.67,-,-,-,-,-,-,-,-
2014-06-14,-,13.25,19.2,23.65,-,26,-,-,-,-,-,54,-,-,41.33,-,-,-,-,-,-,-,-
2014-06-15,-,13.25,19.2,23.65,-,26,-,-,-,-,-,53.67,-,-,41.67,-,-,-,-,-,-,-,-
2014-06-16,-,13.25,17.67,23.93,-,24.67,-,-,-,-,-,51.5,-,-,46,-,-,-,-,-,-,-,-
2014-06-17,-,13.75,17.8,24.02,-,25.75,-,-,-,-,-,52.33,-,-,39.67,-,-,-,-,-,-,-,-
2014-06-18,-,14.75,18.26,24.02,-,25,-,-,-,-,-,50,-,-,31.67,-,-,-,-,-,-,-,-
2014-06-19,-,15.5,17.86,24.02,-,24.75,-,-,-,-,-,48,-,-,30,-,-,-,-,-,-,-,-
2014-06-20,-,15.25,17,24.17,-,24.25,-,-,-,-,-,45.67,-,-,27.33,-,-,-,-,-,-,-,-
2014-06-21,-,14.75,16.52,24.17,-,23.25,-,-,-,-,-,43,-,-,26,-,-,-,-,-,-,-,-
2014-06-22,-,14.75,16.52,24.17,-,22.5,-,-,-,-,-,43.33,-,-,26.67,-,-,-,-,-,-,-,-
2014-06-23,-,14.75,15.87,24.22,-,21.33,-,-,-,-,-,43.5,-,-,25,-,-,-,-,-,-,-,-
2014-06-24,-,15,16.52,24.22,-,21.5,-,-,-,-,-,44,-,-,22.67,-,-,-,-,-,-,-,-
2014-06-25,-,15.75,16.92,24.5,-,22.5,-,-,-,-,-,44,-,-,21,-,-,-,-,-,-,-,-
2014-06-26,-,16.5,18.26,24.5,-,23.75,-,-,-,-,-,44,-,-,21.67,-,-,-,-,-,-,-,-
2014-06-27,-,17,18.66,24.5,-,25,-,-,-,-,-,44,-,-,22.67,-,-,-,-,-,-,-,-
2014-06-28,-,18,19.06,24.5,-,26.5,-,-,-,-,-,47,-,-,21,-,-,-,-,-,-,-,-
2014-06-29,-,18,19.26,24.55,-,27.25,-,-,-,-,-,47.33,-,-,17.67,-,-,-,-,-,-,-,-
2014-06-30,-,16.5,17.77,24.55,-,27,-,-,-,-,-,47,-,-,20,-,-,-,-,-,-,-,-
2014-07-01,-,14.2,19.33,24.55,-,27,-,-,-,-,30,46,53.44,-,15.33,-,-,-,-,-,-,-,-
